감말랭이,감말랭,"홍시,단감,곶감,건시"
건망고,"말린망고,건망고,건조망고",
건무화과,"말린무화과,건무화과,건조무화과",
건블루베리,"말린블루베리,건블루베리,건조블루베리",
건살구,"말린살구,건살구,건조살구",
건크랜베리,"말린크,건크,건조크",
건파인애플,"말린파인,건파인,건조파인",
건포도,"말린포도,건포도,건조포도",
곶감,"곶감,건시","홍시,말랭,단감"
귤,귤,"한라봉,천혜향,ml,주스,쥬스,음료,즙,원액,액상,에이드,과일청,귤청"
단감,감,"홍시,말랭,곶감,건시"
대추,대추,"대추청,대추차,대추칩"
딸기,딸기,"우유,요구르트,요거트,샌드위치,바나나,기잼,딸기쨈,딸기청,과일청,딸기칩,딸기스무디,딸기명아주,시금치딸기,딸기시금치,에이드,주스,쥬스,음료,즙,후레쉬베리"
라임,라임,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
레몬,"레몬,래몬","ml,주스,쥬스,음료,즙,원액,액상,건레몬,건조레몬,레몬차,레몬필,레몬청,과일청,레몬그라스,에이드,레모네이드"
망고,망고,"ml,주스,쥬스,말린망고,건망고,음료,즙,과일청,망고청,"
매실,매실,"ml,주스,쥬스,음료,즙,원액,액상,에이드,매실청,매실차,과일청"
멜론,멜론,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
모과,모과,"ml,주스,쥬스,음료,즙,원액,액상,에이드,모과청,모과차,과일청"
무화과,무화과,"ml,주스,쥬스,음료,원액,액상,에이드,말린무화과,건무화과,건조무화과,즙"
바나나,바나나,"바나나칩,바나나잎,바나나분말,ml,우유,주스,쥬스,음료,즙,원액,액상,에이드,딸기,후레쉬베리,퓨레"
방울토마토,방울토마토,"ml,우유,주스,쥬스,음료,즙,원액,액상,에이드"
배,배,"ml,사과,우유,주스,쥬스,음료,즙,원액,액상,에이드,퓨레,과일청,배청,배차"
복분자,복분자,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
복숭아,복숭아,"ml,주스,쥬스,음료,즙,원액,액상,에이드,과일청,복숭아청"
블루베리,"블루베리,블루배리","ml,주스,쥬스,음료,즙,원액,액상,에이드,요거트,스무디,분말,파우더,건블루,말린블루,건조블루,퓨레,블루베리청,블루베리잼,과일청,과일잼,레몬청"
사과,사과,"ml,배,주스,쥬스,음료,즙,원액,액상,에이드,퓨레"
산딸기,산딸기,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
살구,살구,"ml,주스,쥬스,음료,즙,원액,액상,에이드,말린살구,건살구,건조살구"
샤인머스켓,"샤인머스켓,샤인머스캣","ml,주스,쥬스,음료,즙,원액,액상,에이드"
석류,석류,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
수박,수박,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
아보카도,아보카도,"ml,주스,쥬스,음료,즙,원액,액상,에이드,아보카도오일,아보카도유"
오디,오디,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
오렌지,"오렌지,오랜지","ml,주스,쥬스,음료,즙,원액,액상,에이드"
오미자,오미자,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
유자,유자,"유자차,유자청,유자피,유자소스,유자티,유자액,ml,주스,쥬스,음료,즙,원액,액상,에이드"
자두,자두,"푸룬,건자두,건조자두,ml,주스,쥬스,음료,즙,원액,액상,에이드"
자몽,자몽,"ml,주스,쥬스,음료,즙,원액,액상,에이드,자몽청,자몽차,분말,농축액,블랙티,꽃샘,스무디,오렌지,건자몽,건조과일,건조자몽"
참외,참외,"ml,주스,쥬스,음료,즙,원액,액상,에이드,말랭이"
천혜향,"천혜향,천해향,황금향,레드향","귤,한라봉,ml,주스,쥬스,음료,즙,원액,액상,에이드"
체리,"체리,채리","ml,주스,쥬스,음료,즙,원액,액상,에이드,체리청,캔디,젤리,콜라겐,스틱,베이스,캡슐,체리리플쨈,시럽,타블렛,아모레타,체리부로,분말"
키위,"키위,다래","ml,주스,쥬스,음료,즙,원액,액상,에이드,드레싱,소스"
토마토,토마토,"방울토마토,ml,주스,쥬스,음료,즙,원액,액상,에이드,소스"
파인애플,"파인애플,파인에플","ml,주스,쥬스,음료,즙,원액,액상,에이드,말린파인,건파인,건조파인,망고잼"
포도,포도,"샤인,ml,주스,쥬스,음료,즙,원액,액상,에이드,말린포도,건포도,건조포도"
푸룬,"푸룬,건자두,건조자두","ml,주스,쥬스,음료,즙,원액,액상,에이드,유산균,퓨레,젤리,바이오틱스"
한라봉,한라봉,"귤,천혜향,ml,주스,쥬스,음료,즙,원액,액상,에이드,한라봉차,한라봉청,한라봉파이,한라봉베이스,젤리,오미자,샐러드,농축액,한라봉맛,한라봉타르트,말랭이"
홍시,홍시,"ml,주스,쥬스,음료,즙,원액,액상,에이드,말랭,곶감,건시,단감"
